mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32.385553979873656,0.6890882219001382,0.04178986549377441,0.004247835414552094,6,5,1,10,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.204761266708374,0.98653915138665,0.034909725189208984,0.004285775429256973,6,5,2,2,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.18254981040955,0.545487449165043,0.03740191459655762,0.0027418023689700973,6,5,2,5,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.538880825042725,0.6312421545685559,0.04258542060852051,0.0040568350624664296,6,5,2,10,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.055411672592165,0.7040842511239438,0.045897912979125974,0.006965351773602307,6,5,4,2,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.014763832092285,1.0572610929548663,0.044108009338378905,0.002037081555210015,6,5,4,5,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
33.171068000793454,0.7148449135233964,0.03449716567993164,0.002651636839594224,6,5,4,10,"{'max_depth': 6, 'max_leaf_nodes': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
47.03877720832825,0.9600148502749072,0.035633277893066403,0.0051250529932490175,6,10,1,2,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.53191323280335,0.6232806008964297,0.034998083114624025,0.0034085967031317567,6,10,1,5,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.548270559310915,1.2357990680107993,0.03873467445373535,0.006169507603458271,6,10,1,10,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.01649804115296,1.278111199384735,0.03456439971923828,0.004867951571096384,6,10,2,2,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.49009637832641,0.44639122969705064,0.034281158447265626,0.005483302848172539,6,10,2,5,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.441065549850464,1.1689365160623584,0.03778071403503418,0.0037442461263709334,6,10,2,10,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
47.007112455368045,0.8455753839906321,0.03706436157226563,0.0055578455792313535,6,10,4,2,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.92633948326111,1.025350689685363,0.03096041679382324,0.004193169248025165,6,10,4,5,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
46.53191018104553,0.841083927359075,0.03367581367492676,0.004169939177999671,6,10,4,10,"{'max_depth': 6, 'max_leaf_nodes': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.237,0.2379,0.2346,0.2404,0.2442,0.23881999999999998,0.0032682717145304805,28
71.6321702003479,0.9734301308348585,0.02636122703552246,0.00551070925330495,6,,1,2,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
71.26817488670349,0.47612001896608874,0.034466552734375,0.008858555251458868,6,,1,5,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
71.21481819152832,0.5843296087303993,0.03854789733886719,0.007238125282098835,6,,1,10,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
70.60646357536316,0.5781335403844766,0.029752492904663086,0.0052993562231914565,6,,2,2,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
70.62502064704896,0.4158446577071475,0.03090505599975586,0.006370715031581023,6,,2,5,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
70.84939403533936,0.7331995420054641,0.035357427597045896,0.007462026628794696,6,,2,10,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
70.96253075599671,0.7572649846758412,0.029182958602905273,0.005411014580870082,6,,4,2,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
70.57582511901856,0.6709451996476734,0.03875765800476074,0.004657063420601857,6,,4,5,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
71.17335600852967,0.5563713495133144,0.040246105194091795,0.009967013408972838,6,,4,10,"{'max_depth': 6, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.2645,0.2706,0.2624,0.2739,0.2733,0.26894,0.004665876123516339,19
31.494670486450197,0.3808689955493599,0.028091955184936523,0.006955192368443168,9,5,1,2,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
32.7403642654419,0.9995350413755385,0.038071823120117185,0.006667099487622311,9,5,1,5,"{'max_depth': 9, 'max_leaf_nodes': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.2053,0.2068,0.2016,0.2061,0.2103,0.20602,0.0027924183067728186,73
